Key,en,de 
common.skip,Next,Weiter
common.search,Search,Suchen
common.loading,Loading...,Wird geladen…
common.status.completed,Done,Erledigt
common.status.in_progress,In progress,In Bearbeitung
common.status.not_started,Not started,Nicht begonnen
common.status.marked_as_completed,Marked as done,Als erledigt markiert
common.forms.mark_as_done,Mark form as done,Formular als erledigt markieren
common.forms.mark_as_in_progress,Mark form as in progress,Formular als in Bearbeitung markieren
common.cancel,Cancel,Abbrechen
common.save,Save,Speichern
common.no_data,No data found.,Keine Daten gefunden.
common.select,Select,Auswählen
common.done,Done,Erledigt
common.ok,OK,OK
common.back,Back,Zurück
languages.ro,Romanian,Rumänisch
languages.en,English,Englisch
languages.pl,Polish,Polnisch
languages.bg,Bulgarian,Bulgarisch
languages.sr,Serbian,Serbisch
languages.ka,Georgian,Georgisch
languages.hy,Armenian,Armenisch
languages.ru,Russian,Russisch
languages.az,Azerbaijani,Aserbaidschanisch
languages.es,Spanish,Spanisch
onboarding.language.heading,Choose your language,Sprache auswählen
onboarding.language.description,"This will be the language in which your app will be displayed, and can be changed at any time from the More Section of the application.","Dies ist die Sprache, in der deine App angezeigt wird, und sie kann jederzeit im Bereich „Mehr“ der Anwendung geändert werden."
onboarding.language.save,Apply selection,Auswahl anwenden
onboarding.polling_stations.heading,Monitor election processes,Wahlprozesse überwachen
onboarding.polling_stations.description,"and report campaign irregularities, polling station issues, and flag any problems with voting day procedures","und Unregelmäßigkeiten im Wahlkampf, Probleme in Wahllokalen melden sowie etwaige Verstöße gegen die Abläufe am Wahltag kennzeichnen"
onboarding.forms.heading,Fill in observation forms,Beobachtungsformulare ausfüllen
onboarding.forms.description,and submit reports for each monitoring stage to help ensure a transparent and fair electoral process,"und Berichte für jede Beobachtungsphase einreichen, um einen transparenten und fairen Wahlprozess zu gewährleisten"
onboarding.media.heading,Add notes or media files,Notizen oder Mediendateien hinzufügen
onboarding.media.description,to further support your observations and provide evidence for any irregularities,um deine Beobachtungen weiter zu unterstützen und Belege für etwaige Unregelmäßigkeiten bereitzustellen
onboarding.media.save,Go to app,Zur App
select_app_mode.heading,Select app mode,App-Modus auswählen
select_app_mode.description,"You can monitor the electoral process as an accredited observer, or just as a citizen interested in supporting fair and democratic elections.","Du kannst den Wahlprozess als akkreditierte*r Beobachter*in überwachen oder als Bürger*in, der/die faire und demokratische Wahlen unterstützen möchte."
select_app_mode.accredited_observer.title,Vote Monitor for Accredited Observers,Vote Monitor für akkreditierte Beobachter*innen
select_app_mode.accredited_observer.description,"I am an accredited independent observer, invited by an NGO to observe the electoral process. **","Ich bin eine*r akkreditierte*r unabhängige*r Beobachter*in und wurde von einer NGO eingeladen, den Wahlprozess zu beobachten. **"
select_app_mode.citizen.title,Vote Monitor for Citizens,Vote Monitor für Bürger*innen
select_app_mode.citizen.description,I am a citizen and I want to report electoral irregularities I see during the electoral campaign or on election day.,"Ich bin Bürger*in und möchte Unregelmäßigkeiten melden, die ich während des Wahlkampfs oder am Wahltag beobachte."
select_app_mode.helper,"**As an accredited observer you will be able to switch to Citizen mode at any time, from the app’s menu.",**Als akkreditierte*r Beobachter*in kannst du jederzeit über das App-Menü in den Bürger*innenmodus wechseln.
select_app_mode.continue,Continue,Fortfahren
select_election_event.heading,Available election events,Verfügbare Wahlereignisse
select_election_event.description,Select the event for which you would like to submit a report for:,"Wähle das Ereignis aus, für das du einen Bericht einreichen möchtest:"
select_election_event.continue,Continue,Fortfahren
select_election_event.empty_description,"At this moment there are no active electoral events for which you can report incidents as a citizen. Once an event will be available, you will see it in this section.","Derzeit gibt es keine aktiven Wahlereignisse, für die du als Bürger*in Vorfälle melden kannst. Sobald ein Ereignis verfügbar ist, wird es in diesem Bereich angezeigt."
select_election_event.error_description,Something went wrong while retrieving the available election events. Please retry.,Beim Abrufen der verfügbaren Wahlereignisse ist ein Fehler aufgetreten. Bitte versuche es erneut.
select_election_event.retry,Retry,Erneut versuchen
drawer.report_as_citizen,Report as citizen,Als Bürger*in melden
drawer.report_as_accredited_observer,Report as accredited observer,Als akkreditierte*r Beobachter*in melden
citizen_report_issue.header_title,Report an issue,Ein Vorkommnis melden
citizen_report_issue.description,"As a citizen, you can report an election-related issue by completing one of the reporting forms available below.","Als Bürger*in kannst du ein wahlbezogenes Problem melden, indem du eines der unten verfügbaren Meldeformulare ausfüllst."
citizen_report_issue.disclaimer,"Submitting a report through Vote Monitor Citizen is not the same as filing an official complaint with the authorities responsible for organizing elections. For more information on how reports are used, check the info button in the upper right corner. If you want to submit an official complaint, please refer to the article How to Submit an Official Complaint in the Resources section.","Das Einreichen eines Berichts über Vote Monitor Citizen ist nicht dasselbe wie das Einreichen einer offiziellen Beschwerde bei den für die Organisation von Wahlen zuständigen Behörden. Weitere Informationen zur Verwendung der Berichte findest du über die Info-Schaltfläche in der oberen rechten Ecke. Wenn du eine offizielle Beschwerde einreichen möchtest, lies bitte den Artikel „Wie man eine offizielle Beschwerde einreicht“ im Bereich „Ressourcen“."
citizen_report_issue.empty_forms,Reporting forms will appear here once Vote Monitor team will publish them in the system.,"Meldeformulare werden hier angezeigt, sobald das Vote-Monitor-Team sie im System veröffentlicht hat."
citizen_report_issue.error_message,Something went wrong while retrieving the reporting forms. Please retry.,Beim Abrufen der Meldeformulare ist ein Fehler aufgetreten. Bitte versuche es erneut.
citizen_report_issue.retry,Retry,Erneut versuchen
citizen_report_issue.info_modal.p1,Submitting a report through Vote Monitor Citizen does not constitute an official complaint to the authorities responsible for organizing elections and does not guarantee that your report will be reviewed or addressed.,"Das Einreichen eines Berichts über Vote Monitor Citizen stellt keine offizielle Beschwerde bei den für die Organisation von Wahlen zuständigen Behörden dar und garantiert nicht, dass dein Bericht geprüft oder bearbeitet wird."
