Enum,EN,KA,hy,ru,az,BG,RO
PhysicalViolenceIntimidationPressure,Physical violence/intimidation/pressure,ფიზიკური ძალადობა/მუქარა/ზეწოლა,Ֆիզիկական բռնություն/սպառնալիք/ճնշում,Физическое насилие/угрозы/давление,Fiziki zorakılıq/hədələmə/təzyiq,Физическо насилие/заплахи/натиск,Violență fizică/Intimidare/Presiune
CampaigningAtPollingStation,Campaigning at the polling station,აგიტაცია საარჩევნო უბანზე,Ագիտացիա ընտրատեղամասում,Агитация на избирательном участке,Seçki məntəqəsində təşviqat,Агитация в изборната секция,Campanie electorală la secția de votare
RestrictionOfObserversRights,Restriction of observer’s (representative's/media) rights,დამკვირვებლის/წარმომადგენლის/მედიის უფლებების უკანონო შეზღუდვა,Դիտորդի/ներկայացուցիչի/մեդիայի իրավունքների ապօրինի սահմանափակում,Незаконное ограничение прав наблюдателя/ представителя/ медиа,Müşahidəçinin/nümayəndənin/media hüquqların qeyri-qanuni məhdudlaşdırılması,Ограничаване на правата на наблюдателите (застъпниците/медиите),Restricționarea drepturilor observatorilor (reprezentantului/media)
UnauthorizedPersonsAtPollingStation,Unauthorized person(s) at the polling station,არაუფლებამოსილი პირების ყოფნა საარჩევნო უბანზე,Ընտրատեղամասում իրավասություն չունեցող անձանց ներկայություն,Присутствие посторонних лиц на избирательном участке,Səlahiyyətsiz şəxslərin seçki məntəqəsində olması,Неупълномощено(и) лице(а) в избирателната секция,Persoană(e) neautorizate la secțiile de votare
ViolationDuringVoterVerificationProcess,Violation during voter verification process,დარღვევა ამომრჩევლის ვერიფიკაციის პროცესში,Խախտում ընտրողի վերիֆիկացման (ստուգման) գործընթացում ,Нарушение в процессе верификации избирателя,Seçicinin kimliyinin müəyyən edilməsi prosesində pozuntu,Нарушение по време на процеса на проверка на данните на избирателите ,Încălcări făcute pe durata procesului de verificare a alegătorilor
VotingWithImproperDocumentation,Voting with improper documentation,არასათანადო დოკუმენტაციით ხმის მიცემა,Քվեարկություն ոչ պատշաճ փաստաթղթերով ,Голосование с ненадлежащей документацией,Qeyri-müvafiq sənəd ilə səs vermək,Гласуване с некоректни/неправилни документи,Votare cu documentare improprie
IllegalRestrictionOfVotersRightToVote,Illegal restriction of voter’s right to vote,ამომრჩევლისთვის ხმის უფლების უკანონო შეზღუდვა,Ընտրողի ձայնի իրավունքի ապօրինի սահմանափակում,Незаконное ограничение права голосования избирателя ,Seçicinin səsvermə hüququnun qeyri-qanuni məhdudlaşdırılması,Незаконно ограничаване на правото на глас на избирателя,Restrângerea ilegală a dreptului de vot al alegătorului
DamagingOrSeizingElectionMaterials,Damaging of/seizing election materials,საარჩევნო მასალების დაზიანება/გატაცება,Ընտրական նյութերի վնասում/հափշտակում,Повреждение/ похищение избирательных материалов,Seçki materiallarına ziyan vurmaq/qaçırmaq,Повреждане/отнемане на изборни материали,Deteriorarea/distrugerea materialelor electorale
ImproperFilingOrHandlingOfElectionDocumentation,Improper filing/handling of election documentation,საარჩევნო დოკუმენტაციის არასათანადოდ წარმოება/შევსება,"Ընտրական փաստաթղթերի ոչ պատշաճ վարում/լրացում",Ненадлежащее ведение/ заполнение избирательной документации,Seçki sənədlərinin qeyri-müvafiq şəkildə hazırlanması/doldurulması,Неправилно попълване на изборната документация,Depunerea/manipularea necorespunzătoare a documentelor electorale
BallotStuffing,Ballot stuffing,ბიულეტენების ჩაყრა/გაყალბება,Քվեաթերթիկների լցոնում/կեղծում,Вброс/ фальсификация бюллетеней,Əlavə bülletenlərin qutuya atılması/saxtalaşdırma,Пълнене на урната с бюлетини,Introducerea ilegală de buletine de vot
ViolationsRelatedToControlPaper,Violations related to the control paper,საკონტროლო ფურცელთან დაკავშირებული დარღვევები,Ստուգողական թերթիկի հետ կապված խախտումներ,"Нарушения, связанные с контрольным листом",Nəzarət vərəqi ilə əlaqədar pozuntular,"Нарушения, свързани с контролния лист.",Încălcări legate de hârtia de control
NotCheckingVoterIdentificationSafeguardMeasures,Not checking the voter identification safeguard measures,მარკირების არშემოწმება,Ընտրողների մարկերավորումը ստուգված չէ ,Маркировка избирателей не проверена,İşarələmənin yoxlanmaması,Липса на проверка на защитните мерки (ако такива са предвидени) за идентификация на избирателите,Neverificarea măsurilor de siguranță pentru identificarea alegătorilor
